region,taxa_group,taxa,period,"extraction_method: 
Foraging and collection","extraction_method: 
Spears, harpoons (unmechanised)","extraction_method: 
Hand lines, hand nets","extraction_method: 
Other hand held weapons (e.g. axes, clubs, guns)","extraction_method: 
Fixed traps (e.g. coastal fish traps of stone or wood)","extraction_method: 
Portable traps (e.g. lobster pots)
","extraction_method: 
Nets and longlines (unmechanised)","extraction_method: 
Nets, longlines, harpoons (mechanised)","extraction_method: 
Other",extraction_level,sustainable_or_not,drivers_of_change,"extraction_for_ Nonmarket_consumption_(e.g., recreational, subsistence, non-commercial fishing)",extraction_for_ Local_markets,extraction_for_ Regional markets,"extraction_for_ Inter-regional markets (e.g. long distance, transoceanic)",bibliographical_ref
Marquesas Islands,Demersal fish,Mullidae,20 (Ethno),0,,3,0,0,0,,0,,heavy,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Balistidae,20 (Ethno),0,,3,0,0,0,,0,,heavy,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Serranidae,20 (Ethno),0,,3,0,0,0,,0,,heavy,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Holocentridae,20 (Ethno),0,,3,0,0,0,,0,,heavy,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Myripristis sp.,20 (Ethno),0,,3,0,0,0,,0,,heavy,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Selar crumenophthalmus,20 (Ethno),0,,3,0,0,0,,0,,heavy,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Adiory caudimaculatus,20 (Ethno),0,,3,0,0,0,,0,,heavy,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,small Lutjanidae,20 (Ethno),0,,3,0,0,0,,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,small Serranidae,20 (Ethno),0,,3,0,0,0,,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Sphyraena forsteri,20 (Ethno),0,,3,0,0,0,,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Caranx sexfasciatus,20 (Ethno),0,,3,0,0,0,,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Caranx ascensionis,20 (Ethno),0,,3,0,0,0,,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Gymnosarda unicolor,20 (Ethno),0,,3,0,0,0,,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Myripristis sp.,20 (Ethno),0,,,,,,3,0,,light,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Cypselurus simus,20 (Ethno),0,,3,,,,,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Hvorhampbus acutus,20 (Ethno),0,,3,,,,,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Hemiramphus depauperatus,20 (Ethno),0,,3,,,,,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,smaller Selar crumenophthalmus,20 (Ethno),0,,,,,,3,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Albula sp.,20 (Ethno),0,,,,,,3,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Scomberoides lysan,20 (Ethno),0,,,,,,3,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Blenniidae,20 (Ethno),0,3,,,,,,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Manta alfredii,20 (Ethno),0,3,,,,,,0,,moderate,,,3,0,0,0,rolett1998
Marquesas Islands,Demersal fish,Ranzania laevis,20 (Ethno),0,3,,,,,,0,,moderate,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Acanthuridae,"11 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Acanthuridae,"12 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Acanthuridae,"13 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Acanthuridae,"14 (Phase 2, Strati E-F)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Acanthuridae,"15 (Phase 3-4, Strati E-F/C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Acanthuridae,"16 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Acanthuridae,"17 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
